,Name,Sex,Age,Height,Weight,Team,Games,Year,Sport,Event,Medal
20243,Irina Alekseyevna Simagina (-Meleshina),F,22.0,171.0,56.0,Russia,2004 Summer,2004,Athletics,Athletics Women's Long Jump,Silver
20244,John O'Connell Siman,M,31.0,198.0,91.0,United States,1984 Summer,1984,Water Polo,Water Polo Men's Water Polo,Silver
20245,Anastasiya Dmitriyevna Simanovich,F,21.0,174.0,69.0,Russia,2016 Summer,2016,Water Polo,Water Polo Women's Water Polo,Bronze
20246,"David William ""Dave"" Sime",M,24.0,189.0,81.0,United States,1960 Summer,1960,Athletics,Athletics Men's 100 metres,Silver
20247,Miroslav imek,M,33.0,168.0,70.0,Czechoslovakia-1,1992 Summer,1992,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
20248,Miroslav imek,M,37.0,168.0,70.0,Czech Republic-1,1996 Summer,1996,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
20249,Dubravko imenc,M,21.0,201.0,115.0,Yugoslavia,1988 Summer,1988,Water Polo,Water Polo Men's Water Polo,Gold
20250,Dubravko imenc,M,29.0,201.0,115.0,Croatia,1996 Summer,1996,Water Polo,Water Polo Men's Water Polo,Silver
20251,Zlatko imenc,M,25.0,186.0,88.0,Yugoslavia,1964 Summer,1964,Water Polo,Water Polo Men's Water Polo,Silver
20252,Diego Pablo Simeone,M,26.0,178.0,70.0,Argentina,1996 Summer,1996,Football,Football Men's Football,Silver
20253,Roldano Simeoni,M,27.0,182.0,82.0,Italy,1976 Summer,1976,Water Polo,Water Polo Men's Water Polo,Silver
20254,Sara Simeoni (-Azzaro),F,23.0,178.0,60.0,Italy,1976 Summer,1976,Athletics,Athletics Women's High Jump,Silver
20255,Sara Simeoni (-Azzaro),F,27.0,178.0,60.0,Italy,1980 Summer,1980,Athletics,Athletics Women's High Jump,Gold
20256,Sara Simeoni (-Azzaro),F,31.0,178.0,60.0,Italy,1984 Summer,1984,Athletics,Athletics Women's High Jump,Silver
20257,Kaspar Simeonov,M,25.0,196.0,103.0,Bulgaria,1980 Summer,1980,Volleyball,Volleyball Men's Volleyball,Silver
20258,Ventzislav Simeonov,M,27.0,200.0,105.0,Italy,2004 Summer,2004,Volleyball,Volleyball Men's Volleyball,Silver
20259,Branislav Simi,M,29.0,180.0,88.0,Yugoslavia,1964 Summer,1964,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold
