,Name,Sex,Age,Height,Weight,Team,Games,Year,Sport,Event,Medal
15467,Josef Carl Peter Neckermann,M,56.0,183.0,65.0,West Germany,1968 Summer,1968,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
15468,Josef Carl Peter Neckermann,M,56.0,183.0,65.0,West Germany,1968 Summer,1968,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
15469,Josef Carl Peter Neckermann,M,60.0,183.0,65.0,West Germany,1972 Summer,1972,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
15470,Josef Carl Peter Neckermann,M,60.0,183.0,65.0,West Germany,1972 Summer,1972,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
15471,Veronica Necula,F,21.0,182.0,80.0,Romania,1988 Summer,1988,Rowing,Rowing Women's Coxed Fours,Bronze
15472,Veronica Necula,F,21.0,182.0,80.0,Romania,1988 Summer,1988,Rowing,Rowing Women's Coxed Eights,Silver
15473,Veronica Necula,F,25.0,182.0,80.0,Romania,1992 Summer,1992,Rowing,Rowing Women's Coxed Eights,Silver
15474,Iliyan Nedkov,M,22.0,174.0,65.0,Bulgaria,1980 Summer,1980,Judo,Judo Men's Half-Lightweight,Bronze
15475,Nemanja Nedovi,M,25.0,191.0,90.0,Serbia,2016 Summer,2016,Basketball,Basketball Men's Basketball,Silver
15476,"Catharina Eline Maria ""Catalien"" Neelissen",F,22.0,177.0,68.0,Netherlands,1984 Summer,1984,Rowing,Rowing Women's Coxed Eights,Bronze
15477,Ryk Neethling,M,26.0,196.0,95.0,South Africa,2004 Summer,2004,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
15478,Karel Neffe,M,24.0,194.0,92.0,Czechoslovakia,1972 Summer,1972,Rowing,Rowing Men's Coxed Fours,Bronze
15479,Marcelo Teles Negro,M,19.0,198.0,94.0,Brazil,1992 Summer,1992,Volleyball,Volleyball Men's Volleyball,Gold
15480,Gheorghe Negrea,M,22.0,181.0,81.0,Romania,1956 Summer,1956,Boxing,Boxing Men's Light-Heavyweight,Silver
15481,Marco Negri,M,29.0,193.0,84.0,Italy,1984 Summer,1984,Volleyball,Volleyball Men's Volleyball,Bronze
15482,Alfonso Negro,M,21.0,175.0,75.0,Italy,1936 Summer,1936,Football,Football Men's Football,Gold
15483,Saina Nehwal,F,22.0,167.0,65.0,India,2012 Summer,2012,Badminton,Badminton Women's Singles,Bronze
15484,"Michael Robert ""Mike"" Neill",M,30.0,185.0,86.0,United States,2000 Summer,2000,Baseball,Baseball Men's Baseball,Gold
15485,Jade Neilsen,F,21.0,175.0,70.0,Australia,2012 Summer,2012,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
15486,"Sandra Lynn ""Sandy"" Neilson (-Bell)",F,16.0,173.0,63.0,United States,1972 Summer,1972,Swimming,Swimming Women's 100 metres Freestyle,Gold
15487,"Sandra Lynn ""Sandy"" Neilson (-Bell)",F,16.0,173.0,63.0,United States,1972 Summer,1972,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
15488,"Sandra Lynn ""Sandy"" Neilson (-Bell)",F,16.0,173.0,63.0,United States,1972 Summer,1972,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
15489,"Terence ""Terry"" Neilson",M,25.0,193.0,85.0,Canada,1984 Summer,1984,Sailing,Sailing Mixed One Person Dinghy,Bronze
15490,Kathrin Neimke,F,22.0,180.0,91.0,East Germany,1988 Summer,1988,Athletics,Athletics Women's Shot Put,Silver
15491,Kathrin Neimke,F,26.0,180.0,91.0,Germany,1992 Summer,1992,Athletics,Athletics Women's Shot Put,Bronze
15492,"Kersten Neisser (-Kpke, -Kriesel)",F,24.0,175.0,70.0,East Germany,1980 Summer,1980,Rowing,Rowing Women's Coxed Eights,Gold
15493,Daryll Saskia Neita,F,19.0,172.0,61.0,Great Britain,2016 Summer,2016,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
15494,Rdiger Neitzel,M,21.0,199.0,92.0,West Germany,1984 Summer,1984,Handball,Handball Men's Handball,Silver
15495,Gary Malcolm Neiwand,M,22.0,176.0,86.0,Australia,1988 Summer,1988,Cycling,Cycling Men's Sprint,Bronze
15496,Gary Malcolm Neiwand,M,25.0,176.0,86.0,Australia,1992 Summer,1992,Cycling,Cycling Men's Sprint,Silver
15497,Gary Malcolm Neiwand,M,34.0,176.0,86.0,Australia,2000 Summer,2000,Cycling,Cycling Men's Keirin,Silver
15498,Gary Malcolm Neiwand,M,34.0,176.0,86.0,Australia,2000 Summer,2000,Cycling,Cycling Men's Team Sprint,Bronze
15499,Katsutoshi Nekoda,M,20.0,179.0,77.0,Japan,1964 Summer,1964,Volleyball,Volleyball Men's Volleyball,Bronze
15500,Katsutoshi Nekoda,M,24.0,179.0,77.0,Japan,1968 Summer,1968,Volleyball,Volleyball Men's Volleyball,Silver
15501,Katsutoshi Nekoda,M,28.0,179.0,77.0,Japan,1972 Summer,1972,Volleyball,Volleyball Men's Volleyball,Gold
15502,Irina Sergeyevna Nekrasova,F,20.0,168.0,63.0,Kazakhstan,2008 Summer,2008,Weightlifting,Weightlifting Women's Middleweight,Silver
15503,Andr Nelis,M,21.0,192.0,90.0,Belgium,1956 Summer,1956,Sailing,Sailing Mixed One Person Dinghy,Silver
15504,Andr Nelis,M,24.0,192.0,90.0,Belgium,1960 Summer,1960,Sailing,Sailing Mixed One Person Dinghy,Bronze
15505,Bryshon Lorenzo Nellum,M,23.0,183.0,80.0,United States,2012 Summer,2012,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
15506,Adam McCright Nelson,M,25.0,183.0,120.0,United States,2000 Summer,2000,Athletics,Athletics Men's Shot Put,Silver
15507,Adam McCright Nelson,M,29.0,183.0,120.0,United States,2004 Summer,2004,Athletics,Athletics Men's Shot Put,Gold
15508,Frank Thayer Nelson,M,24.0,170.0,63.0,United States,1912 Summer,1912,Athletics,Athletics Men's Pole Vault,Silver
15509,John Maurer Nelson,M,16.0,178.0,66.0,United States,1964 Summer,1964,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
15510,John Maurer Nelson,M,20.0,178.0,66.0,United States,1968 Summer,1968,Swimming,Swimming Men's 200 metres Freestyle,Bronze
15511,John Maurer Nelson,M,20.0,178.0,66.0,United States,1968 Summer,1968,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
15512,Lianne McLellan Nelson-Bennion,F,32.0,177.0,68.0,United States,2004 Summer,2004,Rowing,Rowing Women's Coxed Eights,Silver
15513,Dmitry Vladislavovich Nelyubin,M,17.0,177.0,70.0,Soviet Union,1988 Summer,1988,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
15514,Olena Mykolavna Nemashkalo (Kuznietsova-),F,24.0,168.0,62.0,Soviet Union,1988 Summer,1988,Handball,Handball Women's Handball,Bronze
15515,Zsolt Nemcsik,M,26.0,188.0,88.0,Hungary,2004 Summer,2004,Fencing,"Fencing Men's Sabre, Individual",Silver
15516,Josef Nmec,M,26.0,187.0,89.0,Czechoslovakia,1960 Summer,1960,Boxing,Boxing Men's Heavyweight,Bronze
15517,Petr Nmec,M,23.0,173.0,73.0,Czechoslovakia,1980 Summer,1980,Football,Football Men's Football,Gold
15518,Bohumil Nmeek,M,22.0,175.0,63.0,Czechoslovakia,1960 Summer,1960,Boxing,Boxing Men's Light-Welterweight,Gold
15519,Zoltn Nemere,M,22.0,185.0,90.0,Hungary,1964 Summer,1964,Fencing,"Fencing Men's epee, Team",Gold
15520,Zoltn Nemere,M,26.0,185.0,90.0,Hungary,1968 Summer,1968,Fencing,"Fencing Men's epee, Team",Gold
15521,Ferenc Nmeth,M,24.0,181.0,71.0,Hungary,1960 Summer,1960,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
15522,Ferenc Nmeth,M,24.0,181.0,71.0,Hungary,1960 Summer,1960,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
15523,Helga Nmeth,F,22.0,177.0,64.0,Hungary,1996 Summer,1996,Handball,Handball Women's Handball,Bronze
15524,Imre Nmeth,M,30.0,184.0,82.0,Hungary,1948 Summer,1948,Athletics,Athletics Men's Hammer Throw,Gold
15525,Imre Nmeth,M,34.0,184.0,82.0,Hungary,1952 Summer,1952,Athletics,Athletics Men's Hammer Throw,Bronze
15526,Mikls Nmeth,M,29.0,193.0,95.0,Hungary,1976 Summer,1976,Athletics,Athletics Men's Javelin Throw,Gold
15527,Erzsbet Nmeth-Csajbk,F,23.0,172.0,69.0,Hungary,1976 Summer,1976,Handball,Handball Women's Handball,Bronze
15528,Angla Nmeth-Rnky,F,22.0,176.0,75.0,Hungary,1968 Summer,1968,Athletics,Athletics Women's Javelin Throw,Gold
15529,Marianna Nmethov-Krajrov,F,16.0,154.0,49.0,Czechoslovakia,1964 Summer,1964,Gymnastics,Gymnastics Women's Team All-Around,Silver
15530,Marianna Nmethov-Krajrov,F,20.0,154.0,49.0,Czechoslovakia,1968 Summer,1968,Gymnastics,Gymnastics Women's Team All-Around,Silver
15531,Aleksey Yuryevich Nemov,M,20.0,174.0,75.0,Russia,1996 Summer,1996,Gymnastics,Gymnastics Men's Individual All-Around,Silver
15532,Aleksey Yuryevich Nemov,M,20.0,174.0,75.0,Russia,1996 Summer,1996,Gymnastics,Gymnastics Men's Team All-Around,Gold
15533,Aleksey Yuryevich Nemov,M,20.0,174.0,75.0,Russia,1996 Summer,1996,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
15534,Aleksey Yuryevich Nemov,M,20.0,174.0,75.0,Russia,1996 Summer,1996,Gymnastics,Gymnastics Men's Horse Vault,Gold
15535,Aleksey Yuryevich Nemov,M,20.0,174.0,75.0,Russia,1996 Summer,1996,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
15536,Aleksey Yuryevich Nemov,M,20.0,174.0,75.0,Russia,1996 Summer,1996,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
15537,Aleksey Yuryevich Nemov,M,24.0,174.0,75.0,Russia,2000 Summer,2000,Gymnastics,Gymnastics Men's Individual All-Around,Gold
15538,Aleksey Yuryevich Nemov,M,24.0,174.0,75.0,Russia,2000 Summer,2000,Gymnastics,Gymnastics Men's Team All-Around,Bronze
15539,Aleksey Yuryevich Nemov,M,24.0,174.0,75.0,Russia,2000 Summer,2000,Gymnastics,Gymnastics Men's Floor Exercise,Silver
15540,Aleksey Yuryevich Nemov,M,24.0,174.0,75.0,Russia,2000 Summer,2000,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
15541,Aleksey Yuryevich Nemov,M,24.0,174.0,75.0,Russia,2000 Summer,2000,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
15542,Aleksey Yuryevich Nemov,M,24.0,174.0,75.0,Russia,2000 Summer,2000,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
15543,Vladimir Konstantinovich Nemshilov,M,19.0,180.0,72.0,Soviet Union,1968 Summer,1968,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
15544,Milan Nenadi,M,29.0,176.0,78.0,Yugoslavia,1972 Summer,1972,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
15545,Karel Nepomuck,M,25.0,173.0,71.0,Czechoslovakia,1964 Summer,1964,Football,Football Men's Football,Silver
15546,Nergin Enkhbat,M,26.0,174.0,60.0,Mongolia,1988 Summer,1988,Boxing,Boxing Men's Lightweight,Bronze
15547,"Stefanie ""Steffi"" Nerius",F,32.0,178.0,72.0,Germany,2004 Summer,2004,Athletics,Athletics Women's Javelin Throw,Silver
15548,Manfred Nerlinger,M,23.0,182.0,148.0,West Germany,1984 Summer,1984,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
15549,Manfred Nerlinger,M,27.0,182.0,148.0,West Germany,1988 Summer,1988,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver
15550,Manfred Nerlinger,M,31.0,182.0,148.0,Germany,1992 Summer,1992,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
15551,Stephanie Nesbitt,F,19.0,165.0,52.0,United States,2004 Summer,2004,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
15552,Mauro Nespoli,M,20.0,181.0,78.0,Italy,2008 Summer,2008,Archery,Archery Men's Team,Silver
15553,Mauro Nespoli,M,24.0,181.0,78.0,Italy,2012 Summer,2012,Archery,Archery Men's Team,Gold
15554,Yuliya Viktorovna Nesterenko (Bartsevich-),F,25.0,176.0,62.0,Belarus,2004 Summer,2004,Athletics,Athletics Women's 100 metres,Gold
15555,Yury Igorevich Nesterov,M,21.0,206.0,114.0,Soviet Union,1988 Summer,1988,Handball,Handball Men's Handball,Gold
15556,Daniel Mark Nestor,M,28.0,191.0,87.0,Canada,2000 Summer,2000,Tennis,Tennis Men's Doubles,Gold
15557,Mikhail Valeryevich Nestruyev,M,35.0,174.0,61.0,Russia,2004 Summer,2004,Shooting,"Shooting Men's Air Pistol, 10 metres",Silver
15558,Mikhail Valeryevich Nestruyev,M,35.0,174.0,61.0,Russia,2004 Summer,2004,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold
15559,Anthony Conrad Nesty,M,20.0,180.0,78.0,Suriname,1988 Summer,1988,Swimming,Swimming Men's 100 metres Butterfly,Gold
15560,Anthony Conrad Nesty,M,24.0,180.0,78.0,Suriname,1992 Summer,1992,Swimming,Swimming Men's 100 metres Butterfly,Bronze
15561,Mariya Vyacheslavovna Netesova,F,17.0,174.0,50.0,Russia,2000 Summer,2000,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
15562,Acer Gary Nethercott,M,30.0,174.0,55.0,Great Britain,2008 Summer,2008,Rowing,Rowing Men's Coxed Eights,Silver
15563,Jos Ferreira Neto,M,22.0,173.0,73.0,Brazil,1988 Summer,1988,Football,Football Men's Football,Silver
15564,Norberto Murara Neto,M,23.0,191.0,83.0,Brazil,2012 Summer,2012,Football,Football Men's Football,Silver
15565,Claude Netter,M,27.0,177.0,75.0,France,1952 Summer,1952,Fencing,"Fencing Men's Foil, Team",Gold
15566,Claude Netter,M,32.0,177.0,75.0,France,1956 Summer,1956,Fencing,"Fencing Men's Foil, Team",Silver
15567,"Mildrette Netter (-Bell, -Graves)",F,20.0,158.0,51.0,United States,1968 Summer,1968,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
15568,Wolf-Rdiger Netz,M,29.0,172.0,67.0,East Germany,1980 Summer,1980,Football,Football Men's Football,Silver
15569,Dagmar Neubauer (Rbsam-),F,26.0,170.0,58.0,East Germany,1988 Summer,1988,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
15570,Klaus-Dieter Neubert,M,22.0,169.0,52.0,East Germany,1972 Summer,1972,Rowing,Rowing Men's Coxed Pairs,Gold
15571,Kevin Neufeld,M,23.0,186.0,90.0,Canada,1984 Summer,1984,Rowing,Rowing Men's Coxed Eights,Gold
15572,Alfred Karl Neuland (Neiland-),M,24.0,166.0,74.0,Estonia,1920 Summer,1920,Weightlifting,Weightlifting Men's Lightweight,Gold
15573,Alfred Karl Neuland (Neiland-),M,28.0,166.0,74.0,Estonia,1924 Summer,1924,Weightlifting,Weightlifting Men's Middleweight,Silver
15574,Annett Neumann,F,22.0,170.0,65.0,Germany,1992 Summer,1992,Cycling,Cycling Women's Sprint,Silver
15575,Otto Neumann,M,25.0,178.0,71.0,Germany,1928 Summer,1928,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
15576,Daniela Neunast,F,21.0,158.0,45.0,East Germany,1988 Summer,1988,Rowing,Rowing Women's Coxed Eights,Gold
15577,Daniela Neunast,F,25.0,158.0,45.0,Germany,1992 Summer,1992,Rowing,Rowing Women's Coxed Eights,Bronze
15578,Uwe Neupert,M,22.0,188.0,100.0,East Germany,1980 Summer,1980,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
15579,Gnther Neureuther,M,20.0,186.0,95.0,West Germany,1976 Summer,1976,Judo,Judo Men's Heavyweight,Silver
15580,Gnther Neureuther,M,28.0,186.0,95.0,West Germany,1984 Summer,1984,Judo,Judo Men's Half-Heavyweight,Bronze
15581,Peter Neusel,M,22.0,193.0,94.0,Germany,1964 Summer,1964,Rowing,Rowing Men's Coxed Fours,Gold
15582,Kiley Neushul,F,23.0,173.0,65.0,United States,2016 Summer,2016,Water Polo,Water Polo Women's Water Polo,Gold
15583,Juan Carlos Nevado Gonzlez,M,25.0,171.0,74.0,Germany,2008 Summer,2008,Hockey,Hockey Men's Hockey,Gold
15584,Pauli Lauri Nevala,M,23.0,177.0,83.0,Finland,1964 Summer,1964,Athletics,Athletics Men's Javelin Throw,Gold
15585,Lauri Armas Nevalainen,M,25.0,180.0,78.0,Finland,1952 Summer,1952,Rowing,Rowing Men's Coxless Fours,Bronze
15586,Leandro Vissotto Neves,M,29.0,212.0,97.0,Brazil,2012 Summer,2012,Volleyball,Volleyball Men's Volleyball,Silver
15587,Thiago Neves Augusto,M,23.0,182.0,70.0,Brazil,2008 Summer,2008,Football,Football Men's Football,Bronze
15588,Mary Elizabeth Nevill,F,31.0,158.0,58.0,Great Britain,1992 Summer,1992,Hockey,Hockey Women's Hockey,Bronze
15589,David Neville,M,24.0,193.0,77.0,United States,2008 Summer,2008,Athletics,Athletics Men's 400 metres,Bronze
15590,David Neville,M,24.0,193.0,77.0,United States,2008 Summer,2008,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
15591,"John Joseph ""Joe"" Nevin",M,23.0,170.0,54.0,Ireland,2012 Summer,2012,Boxing,Boxing Men's Bantamweight,Silver
15592,Vladimir Mikhaylovich Nevzorov,M,23.0,174.0,73.0,Soviet Union,1976 Summer,1976,Judo,Judo Men's Half-Middleweight,Gold
15593,Robert Frederick Newbery,M,21.0,174.0,70.0,Australia,2000 Summer,2000,Diving,Diving Men's Synchronized Springboard,Bronze
15594,Robert Frederick Newbery,M,25.0,174.0,70.0,Australia,2004 Summer,2004,Diving,Diving Men's Synchronized Springboard,Bronze
15595,Robert Frederick Newbery,M,25.0,174.0,70.0,Australia,2004 Summer,2004,Diving,Diving Men's Synchronized Platform,Bronze
15596,Stephen Newbold,M,21.0,191.0,82.0,Bahamas,2016 Summer,2016,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
15597,"Frederick Vaughn ""Fred"" Newhouse",M,27.0,175.0,68.0,United States,1976 Summer,1976,Athletics,Athletics Men's 400 metres,Silver
15598,"Frederick Vaughn ""Fred"" Newhouse",M,27.0,175.0,68.0,United States,1976 Summer,1976,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
15599,Arthur Lewis Newton,M,21.0,160.0,51.0,United States,1904 Summer,1904,Athletics,Athletics Men's Marathon,Bronze
15600,Arthur Lewis Newton,M,21.0,160.0,51.0,United States,1904 Summer,1904,Athletics,"Athletics Men's 2,590 metres Steeplechase",Bronze
15601,Arthur Lewis Newton,M,21.0,160.0,51.0,New York Athletic Club,1904 Summer,1904,Athletics,"Athletics Men's 4 mile, Team",Gold
15602,"Christopher ""Chris"" Newton",M,26.0,181.0,69.0,Great Britain,2000 Summer,2000,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
15603,"Christopher ""Chris"" Newton",M,30.0,181.0,69.0,Great Britain,2004 Summer,2004,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
15604,"Christopher ""Chris"" Newton",M,34.0,181.0,69.0,Great Britain,2008 Summer,2008,Cycling,Cycling Men's Points Race,Bronze
15605,Charles Edmund Newton Robinson,M,52.0,170.0,67.0,Great Britain,1906 Summer,1906,Fencing,"Fencing Men's epee, Team",Silver
15606,Neymar da Silva Santos Jnior,M,20.0,174.0,64.0,Brazil,2012 Summer,2012,Football,Football Men's Football,Silver
15607,Neymar da Silva Santos Jnior,M,24.0,174.0,64.0,Brazil,2016 Summer,2016,Football,Football Men's Football,Gold
15608,Timothey N'Guessan,M,23.0,186.0,105.0,France,2016 Summer,2016,Handball,Handball Men's Handball,Silver
15609,Noah Kiprono Ngeny,M,21.0,182.0,68.0,Kenya,2000 Summer,2000,Athletics,"Athletics Men's 1,500 metres",Gold
15610,Daniel Armand Ngom Kome,M,20.0,172.0,69.0,Cameroon,2000 Summer,2000,Football,Football Men's Football,Gold
15611,John Ngugi Kamau,M,26.0,178.0,62.0,Kenya,1988 Summer,1988,Athletics,"Athletics Men's 5,000 metres",Gold
15612,Marcel Van Minh Phuc Long Nguyen,M,24.0,165.0,55.0,Germany,2012 Summer,2012,Gymnastics,Gymnastics Men's Individual All-Around,Silver
15613,Marcel Van Minh Phuc Long Nguyen,M,24.0,165.0,55.0,Germany,2012 Summer,2012,Gymnastics,Gymnastics Men's Parallel Bars,Silver
15614,Ni Hong,F,22.0,175.0,62.0,China,2008 Summer,2008,Fencing,"Fencing Women's Sabre, Team",Silver
15615,Nian Yun,F,13.0,168.0,61.0,China,1996 Summer,1996,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
15616,Haby Niar,F,23.0,176.0,66.0,France,2016 Summer,2016,Taekwondo,Taekwondo Women's Welterweight,Silver
15617,Tariq Niazi,M,24.0,182.0,73.0,Pakistan,1964 Summer,1964,Hockey,Hockey Men's Hockey,Silver
15618,Tariq Niazi,M,28.0,182.0,73.0,Pakistan,1968 Summer,1968,Hockey,Hockey Men's Hockey,Gold
15619,Mikhail Ivanovich Nichepurenko,M,24.0,176.0,74.0,Soviet Union,1980 Summer,1980,Hockey,Hockey Men's Hockey,Bronze
15620,Maria Nichiforov (-Mihoreanu),F,21.0,168.0,71.0,Romania,1972 Summer,1972,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
15621,Nastasia Nichitov-Ionescu,F,30.0,169.0,60.0,Romania,1984 Summer,1984,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
15622,Laura Nicholls Gonzlez,F,27.0,190.0,90.0,Spain,2016 Summer,2016,Basketball,Basketball Women's Basketball,Silver
15623,Kevin John Nichols,M,29.0,175.0,68.0,Australia,1984 Summer,1984,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
15624,Mandy Nichols-Nicholson (Langridge-),F,24.0,152.0,57.0,Great Britain,1992 Summer,1992,Hockey,Hockey Women's Hockey,Bronze
15625,Andrew Clifton Nicholson,M,30.0,182.0,78.0,New Zealand,1992 Summer,1992,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
15626,Andrew Clifton Nicholson,M,34.0,182.0,78.0,New Zealand,1996 Summer,1996,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
15627,Andrew Clifton Nicholson,M,50.0,182.0,78.0,New Zealand,2012 Summer,2012,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
15628,John Michael Nicholson,M,23.0,180.0,83.0,Australia,1972 Summer,1972,Cycling,Cycling Men's Sprint,Silver
15629,Rafael Nickel,M,25.0,186.0,86.0,West Germany,1984 Summer,1984,Fencing,"Fencing Men's epee, Team",Gold
15630,Paolo Nicolai,M,27.0,203.0,91.0,Italy-1,2016 Summer,2016,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
15631,Astier Nicolas,M,27.0,180.0,70.0,France,2016 Summer,2016,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
15632,Astier Nicolas,M,27.0,180.0,70.0,France,2016 Summer,2016,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
15633,Ashley Nicoll-Holzer (-Munro-),F,24.0,152.0,60.0,Canada,1988 Summer,1988,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
15634,Lars Nieberg,M,32.0,183.0,78.0,Germany,1996 Summer,1996,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
15635,Lars Nieberg,M,37.0,183.0,78.0,Germany,2000 Summer,2000,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
15636,"William Henry ""Bill"" Nieder",M,23.0,190.0,102.0,United States,1956 Summer,1956,Athletics,Athletics Men's Shot Put,Silver
15637,"William Henry ""Bill"" Nieder",M,27.0,190.0,102.0,United States,1960 Summer,1960,Athletics,Athletics Men's Shot Put,Gold
15638,Henryk Wadysaw Niedwiedzki,M,23.0,168.0,60.0,Poland,1956 Summer,1956,Boxing,Boxing Men's Featherweight,Bronze
15639,"Judith ""Jutta"" Niehaus (-Tiemann)",F,24.0,168.0,60.0,West Germany,1988 Summer,1988,Cycling,"Cycling Women's Road Race, Individual",Silver
15640,Peter Niehusen,M,25.0,191.0,90.0,West Germany,1976 Summer,1976,Rowing,Rowing Men's Coxed Fours,Bronze
15641,Henryk Nielaba,M,35.0,175.0,68.0,Poland,1968 Summer,1968,Fencing,"Fencing Men's epee, Team",Bronze
15642,Anja Nielsen,F,25.0,168.0,63.0,Denmark,2000 Summer,2000,Handball,Handball Women's Handball,Gold
15643,Benny Leo Nielsen,M,22.0,190.0,76.0,Denmark,1988 Summer,1988,Swimming,Swimming Men's 200 metres Butterfly,Silver
15644,Brian Nielsen,M,27.0,191.0,110.0,Denmark,1992 Summer,1992,Boxing,Boxing Men's Super-Heavyweight,Bronze
15645,Flemming Gert Nielsen,M,26.0,184.0,73.0,Denmark,1960 Summer,1960,Football,Football Men's Football,Silver
15646,Hans Christian Wedelsted Nielsen,M,32.0,186.0,83.0,Denmark,1960 Summer,1960,Football,Football Men's Football,Silver
15647,Harald Ingemann Nielsen,M,18.0,178.0,72.0,Denmark,1960 Summer,1960,Football,Football Men's Football,Silver
15648,Joachim Flemming Fischer Nielsen,M,33.0,188.0,78.0,Denmark-1,2012 Summer,2012,Badminton,Badminton Mixed Doubles,Bronze
15649,Lars Nielsen,M,23.0,197.0,96.0,Denmark,1984 Summer,1984,Rowing,Rowing Men's Coxless Fours,Bronze
15650,Michael Damgaard Nielsen,M,26.0,192.0,92.0,Denmark,2016 Summer,2016,Handball,Handball Men's Handball,Gold
15651,Mie stergaard Nielsen,F,19.0,184.0,67.0,Denmark,2016 Summer,2016,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
15652,Arne Nielsson,M,30.0,172.0,60.0,Denmark,1992 Summer,1992,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
15653,"Susanne Schultz Nielsson (-Feldsgaard, -Hansen)",F,20.0,165.0,60.0,Denmark,1980 Summer,1980,Swimming,Swimming Women's 100 metres Breaststroke,Bronze
15654,Barbara Wiesawa Niemczyk (Hermel-),F,25.0,174.0,63.0,Poland,1968 Summer,1968,Volleyball,Volleyball Women's Volleyball,Bronze
15655,Matti Juhani Niemi,M,19.0,182.0,75.0,Finland,1956 Summer,1956,Rowing,Rowing Men's Coxed Fours,Bronze
15656,Pekka Kalevi Niemi,M,31.0,174.0,93.5,Finland,1984 Summer,1984,Weightlifting,Weightlifting Men's Heavyweight I,Bronze
15657,"Martin Aleksander ""Martti"" Nieminen",M,28.0,183.0,90.0,Finland,1920 Summer,1920,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
15658,Minna Eliisa Nieminen,F,31.0,172.0,62.0,Finland,2008 Summer,2008,Rowing,Rowing Women's Lightweight Double Sculls,Silver
15659,Simon Niepmann,M,31.0,180.0,71.0,Switzerland,2016 Summer,2016,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
15660,Bernd Niesecke,M,29.0,190.0,89.0,East Germany,1988 Summer,1988,Rowing,Rowing Men's Coxed Fours,Gold
15661,"Anne Lucia Cornelia Maria ""Anneloes"" Nieuwenhuizen",F,20.0,172.0,60.0,Netherlands,1984 Summer,1984,Hockey,Hockey Women's Hockey,Gold
15662,"Anne Lucia Cornelia Maria ""Anneloes"" Nieuwenhuizen",F,24.0,172.0,60.0,Netherlands,1988 Summer,1988,Hockey,Hockey Women's Hockey,Bronze
